project_id,group_id,id,common,scientific,family,order,habitat,range,size,tags,quickId,habitatNotes,management,additionalNotes,image,imageCredit
indoor-insects,ants,odorous-house-ant,Odorous House Ant,Tapinoma sessile,Formicidae,Hymenoptera,In Homes,Statewide,2.4–3.3 mm,"Trail-forming
Sweet-feeding","Single, hidden node on petiole
Even, brown-black body color
Crushed workers smell of rotten coconut
Trails along baseboards and counters","No structural damage. Contaminates exposed food and forms persistent indoor trails, especially after rain pushes colonies inside.","Sanitation, moisture correction, and slow-acting sugar baits. Avoid repellent sprays that fragment colonies.",,,
indoor-insects,ants,carpenter-ant,Black Carpenter Ant,Camponotus pennsylvanicus,Formicidae,Hymenoptera,Structural,Statewide,6–13 mm,"Polymorphic
Wood-nesting","Single petiole node, evenly rounded thorax
Workers vary widely in size within a colony
Coarse golden hairs on gaster
Sawdust-like frass below galleries","Excavates galleries in moisture-damaged wood. Damage is structural over years, not days; finding frass is the typical first sign.",Locate and correct moisture sources. Trace foraging trails back to satellite nests; treat parent colony directly.,,,
indoor-insects,ants,pavement-ant,Pavement Ant,Tetramorium immigrans,Formicidae,Hymenoptera,Around Structures,Statewide,2.5–3 mm,Slab-nesting,"Two petiole nodes
Parallel grooves on head and thorax
Soil mounds along sidewalks and slab edges
Slow, deliberate trails",Nuisance only. Soil displacement under slabs occasionally noticeable.,Granular or gel baits placed near nest entrances. Seal slab cracks to limit indoor entry.,,,
indoor-insects,ants,pharaoh-ant,Pharaoh Ant,Monomorium pharaonis,Formicidae,Hymenoptera,In Homes,Statewide,1.5–2 mm,"Budding
Indoor-only","Yellow to honey-amber body, darker gaster
Two petiole nodes, 12-segmented antennae with three-segmented club
Tiny — about 2 mm
Multiple satellite nests within heated structures",Critical concern in hospitals and food-handling facilities. Sprays cause budding and worsen infestations.,Bait-only programs across the entire structure. Never use repellent contact insecticides.,,,
indoor-insects,cockroaches,german-cockroach,German Cockroach,Blattella germanica,Ectobiidae,Blattodea,In Homes,Statewide,13–16 mm,"Indoor-only
Prolific","Two parallel dark stripes on pronotum
Light tan to caramel body
Nymphs nearly black with a pale stripe
Egg case carried by female until hatch",Allergens and pathogen carriage. Feeds on virtually any organic residue.,"Gel baits, IGRs, sanitation. Monitor with sticky traps in corners along walls.",,,
indoor-insects,cockroaches,american-cockroach,American Cockroach,Periplaneta americana,Blattidae,Blattodea,Around Structures,Statewide,35–40 mm,"Peridomestic
Large","Reddish-brown with pale yellow pronotal margin
Largest common indoor roach
Adults fly short distances in warm weather
Associated with sewers, steam tunnels",Indicator of plumbing or drainage issues. Strong musty odor in heavy infestations.,Seal floor drains and sewer access. Bait stations in utility chases.,,,
indoor-insects,cockroaches,oriental-cockroach,Oriental Cockroach,Blatta orientalis,Blattidae,Blattodea,In Homes,Statewide,25–30 mm,Cool-tolerant,"Glossy near-black body
Females wingless; males with short wings
Slow-moving compared to other species
Strong preference for damp, cool spaces",Frequent in basements and crawlspaces; signals moisture problems.,"Dehumidify, exclude. Granular baits in voids and along foundations.",,,
indoor-insects,bed-bugs,common-bed-bug,Common Bed Bug,Cimex lectularius,Cimicidae,Hemiptera,In Homes,Statewide,4–5 mm,"Hematophagous
Cryptic","Apple-seed shape, flattened dorsally
Reddish-brown; engorged adults are darker and rounded
Banded segmentation on abdomen
Fecal spotting on seams and headboards",Bite reactions vary widely. Not a confirmed disease vector under typical exposure.,"Integrated approach: encasements, heat, vacuuming, targeted residuals. Inspect-confirm before treatment.",,/images/projects/indoor-insects/species/bedbug.jpg,
indoor-insects,bed-bugs,bat-bug,Bat Bug,Cimex adjunctus,Cimicidae,Hemiptera,In Homes,Statewide,4–5 mm,Bat-associated,"Visually near-identical to bed bug
Longer fringe hairs on pronotum (microscope needed)
Found near roosts, not beds, in initial infestations
Bites people only after bats leave",Indicator of a current or former bat colony in the structure.,"Exclude bats first (legally and seasonally), then treat harborage. Treating without exclusion fails.",,,
indoor-insects,stored-product,indianmeal-moth,Indianmeal Moth,Plodia interpunctella,Pyralidae,Lepidoptera,Stored Products,Statewide,8–10 mm,Webbing,"Forewing two-toned: pale base, coppery outer two-thirds
Resting moths held tent-like over body
Larvae produce silk webbing in food
Often first noticed flying around lights","Larvae contaminate grains, dried fruit, pet food, and birdseed with frass and webbing.","Find and discard the source — every package. Pheromone traps confirm eradication, not control.",,,
